mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MCAR,none,475,HalfBath,0.4,,0.5348101265822784
MAR,basic,475,HalfBath,0.5,OverallCond,0.9367088607594937
MAR,double_threshold,475,HalfBath,0.5,"['OverallCond', 'GarageYrBlt']",0.6947368421052632
MAR,range_condition,475,HalfBath,0.5,OverallCond,0.7905982905982906
MAR,nonlinear,475,HalfBath,0.5,OverallCond,0.9523809523809523
MCAR,none,475,HalfBath,0.5,,0.5074257425742574
MAR,basic,475,HalfBath,0.6000000000000001,OverallCond,0.9583333333333334
MAR,double_threshold,475,HalfBath,0.6000000000000001,"['OverallCond', 'GarageYrBlt']",0.7589285714285714
MAR,range_condition,475,HalfBath,0.6000000000000001,OverallCond,0.7436823104693141
MAR,nonlinear,475,HalfBath,0.6000000000000001,OverallCond,0.875
MCAR,none,475,HalfBath,0.6000000000000001,,0.4956521739130435
MAR,basic,475,HalfBath,0.7000000000000001,OverallCond,0.9629629629629629
MAR,double_threshold,475,HalfBath,0.7000000000000001,"['OverallCond', 'GarageYrBlt']",0.7474489795918368
MAR,range_condition,475,HalfBath,0.7000000000000001,OverallCond,0.8193146417445483
MAR,nonlinear,475,HalfBath,0.7000000000000001,OverallCond,0.9615384615384616
MCAR,none,475,HalfBath,0.7000000000000001,,0.5209125475285171
MAR,basic,475,HalfBath,0.8,OverallCond,0.9682539682539683
MAR,double_threshold,475,HalfBath,0.8,"['OverallCond', 'GarageYrBlt']",0.8262032085561497
MAR,range_condition,475,HalfBath,0.8,OverallCond,0.8409703504043127
MAR,nonlinear,475,HalfBath,0.8,OverallCond,1.0
MCAR,none,475,HalfBath,0.8,,0.45
MAR,basic,475,HalfBath,0.9,OverallCond,0.9865771812080537
MAR,double_threshold,475,HalfBath,0.9,"['OverallCond', 'GarageYrBlt']",0.9163987138263665
MAR,range_condition,475,HalfBath,0.9,OverallCond,0.9251870324189526
MAR,nonlinear,475,HalfBath,0.9,OverallCond,1.0
MCAR,none,475,HalfBath,0.9,,0.4431818181818182
MAR,basic,26,MSSubClass,0.1,TotalBsmtSF,0.7777777777777778
MAR,double_threshold,26,MSSubClass,0.1,"['TotalBsmtSF', 'FullBath']",0.6888888888888889
MAR,range_condition,26,MSSubClass,0.1,TotalBsmtSF,0.6956521739130435
MAR,nonlinear,26,MSSubClass,0.1,TotalBsmtSF,0.6666666666666666
MCAR,none,26,MSSubClass,0.1,,0.4805194805194805
MAR,basic,26,MSSubClass,0.2,TotalBsmtSF,0.8
MAR,double_threshold,26,MSSubClass,0.2,"['TotalBsmtSF', 'FullBath']",0.6761904761904762
MAR,range_condition,26,MSSubClass,0.2,TotalBsmtSF,0.9038461538461539
MAR,nonlinear,26,MSSubClass,0.2,TotalBsmtSF,0.43859649122807015
MCAR,none,26,MSSubClass,0.2,,0.5209580838323353
MAR,basic,26,MSSubClass,0.30000000000000004,TotalBsmtSF,0.8762886597938144
MAR,double_threshold,26,MSSubClass,0.30000000000000004,"['TotalBsmtSF', 'FullBath']",0.7151898734177216
MAR,range_condition,26,MSSubClass,0.30000000000000004,TotalBsmtSF,0.7792207792207793
MAR,nonlinear,26,MSSubClass,0.30000000000000004,TotalBsmtSF,0.5465116279069767
MCAR,none,26,MSSubClass,0.30000000000000004,,0.42168674698795183
MAR,basic,26,MSSubClass,0.4,TotalBsmtSF,0.860655737704918
MAR,double_threshold,26,MSSubClass,0.4,"['TotalBsmtSF', 'FullBath']",0.6584158415841584
MAR,range_condition,26,MSSubClass,0.4,TotalBsmtSF,0.8736842105263158
MAR,nonlinear,26,MSSubClass,0.4,TotalBsmtSF,0.616822429906542
MCAR,none,26,MSSubClass,0.4,,0.5299684542586751
MAR,basic,26,MSSubClass,0.5,TotalBsmtSF,0.8831168831168831
MAR,double_threshold,26,MSSubClass,0.5,"['TotalBsmtSF', 'FullBath']",0.7076923076923077
MAR,range_condition,26,MSSubClass,0.5,TotalBsmtSF,0.8677685950413223
MAR,nonlinear,26,MSSubClass,0.5,TotalBsmtSF,0.5661764705882353
MCAR,none,26,MSSubClass,0.5,,0.5024752475247525
MAR,basic,26,MSSubClass,0.6000000000000001,TotalBsmtSF,0.8888888888888888
MAR,double_threshold,26,MSSubClass,0.6000000000000001,"['TotalBsmtSF', 'FullBath']",0.7884615384615384
MAR,range_condition,26,MSSubClass,0.6000000000000001,TotalBsmtSF,0.891156462585034
MAR,nonlinear,26,MSSubClass,0.6000000000000001,TotalBsmtSF,0.43636363636363634
MCAR,none,26,MSSubClass,0.6000000000000001,,0.47305389221556887
MAR,basic,26,MSSubClass,0.7000000000000001,TotalBsmtSF,0.9348837209302325
MAR,double_threshold,26,MSSubClass,0.7000000000000001,"['TotalBsmtSF', 'FullBath']",0.8204419889502762
MAR,range_condition,26,MSSubClass,0.7000000000000001,TotalBsmtSF,0.9404761904761905
MAR,nonlinear,26,MSSubClass,0.7000000000000001,TotalBsmtSF,0.5531914893617021
MCAR,none,26,MSSubClass,0.7000000000000001,,0.4669260700389105
MAR,basic,26,MSSubClass,0.8,TotalBsmtSF,0.9256198347107438
MAR,double_threshold,26,MSSubClass,0.8,"['TotalBsmtSF', 'FullBath']",0.8588807785888077
MAR,range_condition,26,MSSubClass,0.8,TotalBsmtSF,0.9528795811518325
MAR,nonlinear,26,MSSubClass,0.8,TotalBsmtSF,0.48826291079812206
MCAR,none,26,MSSubClass,0.8,,0.5141242937853108
MAR,basic,26,MSSubClass,0.9,TotalBsmtSF,0.9745454545454545
MAR,double_threshold,26,MSSubClass,0.9,"['TotalBsmtSF', 'FullBath']",0.8997214484679665
MAR,range_condition,26,MSSubClass,0.9,TotalBsmtSF,0.9537037037037037
MAR,nonlinear,26,MSSubClass,0.9,TotalBsmtSF,0.5702479338842975
MCAR,none,26,MSSubClass,0.9,,0.5222222222222223
MAR,basic,728,FullBath,0.1,MasVnrArea,0.6923076923076923
MAR,double_threshold,728,FullBath,0.1,"['MasVnrArea', 'KitchenAbvGr']",0.5194805194805194
MAR,range_condition,728,FullBath,0.1,MasVnrArea,0.5818181818181818
MAR,nonlinear,728,FullBath,0.1,MasVnrArea,0.6
MCAR,none,728,FullBath,0.1,,0.5569620253164557
MAR,basic,728,FullBath,0.2,MasVnrArea,0.7777777777777778
MAR,double_threshold,728,FullBath,0.2,"['MasVnrArea', 'KitchenAbvGr']",0.5066666666666667
MAR,range_condition,728,FullBath,0.2,MasVnrArea,0.6448598130841121
MAR,nonlinear,728,FullBath,0.2,MasVnrArea,0.7
MCAR,none,728,FullBath,0.2,,0.5569620253164557
MAR,basic,728,FullBath,0.30000000000000004,MasVnrArea,0.8615384615384616
MAR,double_threshold,728,FullBath,0.30000000000000004,"['MasVnrArea', 'KitchenAbvGr']",0.47577092511013214
MAR,range_condition,728,FullBath,0.30000000000000004,MasVnrArea,0.6521739130434783
MAR,nonlinear,728,FullBath,0.30000000000000004,MasVnrArea,0.7333333333333333
MCAR,none,728,FullBath,0.30000000000000004,,0.5083333333333333
MAR,basic,728,FullBath,0.4,MasVnrArea,0.8666666666666667
MAR,double_threshold,728,FullBath,0.4,"['MasVnrArea', 'KitchenAbvGr']",0.4966887417218543
MAR,range_condition,728,FullBath,0.4,MasVnrArea,0.6805555555555556
MAR,nonlinear,728,FullBath,0.4,MasVnrArea,0.8571428571428571
MCAR,none,728,FullBath,0.4,,0.553125
MAR,basic,728,FullBath,0.5,MasVnrArea,0.8823529411764706
MAR,double_threshold,728,FullBath,0.5,"['MasVnrArea', 'KitchenAbvGr']",0.5130208333333334
MAR,range_condition,728,FullBath,0.5,MasVnrArea,0.6931407942238267
MAR,nonlinear,728,FullBath,0.5,MasVnrArea,0.7777777777777778
MCAR,none,728,FullBath,0.5,,0.504950495049505
MAR,basic,728,FullBath,0.6000000000000001,MasVnrArea,0.9166666666666666
MAR,double_threshold,728,FullBath,0.6000000000000001,"['MasVnrArea', 'KitchenAbvGr']",0.49291784702549574
MAR,range_condition,728,FullBath,0.6000000000000001,MasVnrArea,0.7374631268436578
MAR,nonlinear,728,FullBath,0.6000000000000001,MasVnrArea,0.75
MCAR,none,728,FullBath,0.6000000000000001,,0.48787878787878786
MAR,basic,728,FullBath,0.7000000000000001,MasVnrArea,0.9470588235294117
MAR,double_threshold,728,FullBath,0.7000000000000001,"['MasVnrArea', 'KitchenAbvGr']",0.5634328358208955
MAR,range_condition,728,FullBath,0.7000000000000001,MasVnrArea,0.7686567164179104
MAR,nonlinear,728,FullBath,0.7000000000000001,MasVnrArea,0.6829268292682927
MCAR,none,728,FullBath,0.7000000000000001,,0.5142857142857142
MAR,basic,728,FullBath,0.8,MasVnrArea,0.9736842105263158
MAR,double_threshold,728,FullBath,0.8,"['MasVnrArea', 'KitchenAbvGr']",0.5591397849462365
MAR,range_condition,728,FullBath,0.8,MasVnrArea,0.8201634877384196
MAR,nonlinear,728,FullBath,0.8,MasVnrArea,0.7333333333333333
MCAR,none,728,FullBath,0.8,,0.4658385093167702
MAR,basic,728,FullBath,0.9,MasVnrArea,0.986046511627907
MAR,double_threshold,728,FullBath,0.9,"['MasVnrArea', 'KitchenAbvGr']",0.5333333333333333
MAR,range_condition,728,FullBath,0.9,MasVnrArea,0.9123376623376623
MAR,nonlinear,728,FullBath,0.9,MasVnrArea,0.8
MCAR,none,728,FullBath,0.9,,0.5194805194805194
MAR,basic,882,YrSold,0.1,BsmtUnfSF,0.7142857142857143
MAR,double_threshold,882,YrSold,0.1,"['BsmtUnfSF', 'GarageYrBlt']",0.9090909090909091
MAR,range_condition,882,YrSold,0.1,BsmtUnfSF,0.5333333333333333
MAR,nonlinear,882,YrSold,0.1,BsmtUnfSF,0.5
MCAR,none,882,YrSold,0.1,,0.5180722891566265
MAR,basic,882,YrSold,0.2,BsmtUnfSF,0.8780487804878049
MAR,double_threshold,882,YrSold,0.2,"['BsmtUnfSF', 'GarageYrBlt']",0.9285714285714286
MAR,range_condition,882,YrSold,0.2,BsmtUnfSF,0.6842105263157895
MAR,nonlinear,882,YrSold,0.2,BsmtUnfSF,0.4
MCAR,none,882,YrSold,0.2,,0.524390243902439
