mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,basic,791,chlorides,0.7000000000000001,pH,0.9053321927573424
MAR,double_threshold,791,chlorides,0.7000000000000001,"['pH', 'sulphates']",0.9327062228654125
MAR,range_condition,791,chlorides,0.7000000000000001,pH,0.9061281337047353
MAR,nonlinear,791,chlorides,0.7000000000000001,pH,0.8961004972520282
MCAR,none,791,chlorides,0.7000000000000001,,0.4995990376904571
MAR,basic,791,chlorides,0.8,pH,0.9324799196787149
MAR,double_threshold,791,chlorides,0.8,"['pH', 'sulphates']",0.9546751188589541
MAR,range_condition,791,chlorides,0.8,pH,0.9379293424926398
MAR,nonlinear,791,chlorides,0.8,pH,0.9229707978845711
MCAR,none,791,chlorides,0.8,,0.5190993164455167
MAR,basic,791,chlorides,0.9,pH,0.9701994174322205
MAR,double_threshold,791,chlorides,0.9,"['pH', 'sulphates']",0.9754376058723885
MAR,range_condition,791,chlorides,0.9,pH,0.9616732369689006
MAR,nonlinear,791,chlorides,0.9,pH,0.9645055395978662
MCAR,none,791,chlorides,0.9,,0.5083798882681564
MAR,basic,287,fixed_acidity,0.1,sulphates,0.7697368421052632
MAR,double_threshold,287,fixed_acidity,0.1,"['sulphates', 'total_sulfur_dioxide']",0.908
MAR,range_condition,287,fixed_acidity,0.1,sulphates,0.8308026030368764
MAR,nonlinear,287,fixed_acidity,0.1,sulphates,0.6302895322939867
MCAR,none,287,fixed_acidity,0.1,,0.5051958433253397
MAR,basic,287,fixed_acidity,0.2,sulphates,0.7766582703610412
MAR,double_threshold,287,fixed_acidity,0.2,"['sulphates', 'total_sulfur_dioxide']",0.8830897703549061
MAR,range_condition,287,fixed_acidity,0.2,sulphates,0.8555555555555555
MAR,nonlinear,287,fixed_acidity,0.2,sulphates,0.6372328458942632
MCAR,none,287,fixed_acidity,0.2,,0.514218009478673
MAR,basic,287,fixed_acidity,0.30000000000000004,sulphates,0.7670928293496387
MAR,double_threshold,287,fixed_acidity,0.30000000000000004,"['sulphates', 'total_sulfur_dioxide']",0.9453551912568307
MAR,range_condition,287,fixed_acidity,0.30000000000000004,sulphates,0.8552631578947368
MAR,nonlinear,287,fixed_acidity,0.30000000000000004,sulphates,0.6675392670157068
MCAR,none,287,fixed_acidity,0.30000000000000004,,0.510498687664042
MAR,basic,287,fixed_acidity,0.4,sulphates,0.7975742367210372
MAR,double_threshold,287,fixed_acidity,0.4,"['sulphates', 'total_sulfur_dioxide']",0.922920892494929
MAR,range_condition,287,fixed_acidity,0.4,sulphates,0.8595814977973568
MAR,nonlinear,287,fixed_acidity,0.4,sulphates,0.6633775021144629
MCAR,none,287,fixed_acidity,0.4,,0.5009858044164038
MAR,basic,287,fixed_acidity,0.5,sulphates,0.8252361673414305
MAR,double_threshold,287,fixed_acidity,0.5,"['sulphates', 'total_sulfur_dioxide']",0.942339373970346
MAR,range_condition,287,fixed_acidity,0.5,sulphates,0.881858407079646
MAR,nonlinear,287,fixed_acidity,0.5,sulphates,0.7086936731907146
MCAR,none,287,fixed_acidity,0.5,,0.49158195679796696
MAR,basic,287,fixed_acidity,0.6000000000000001,sulphates,0.8580609108689579
MAR,double_threshold,287,fixed_acidity,0.6000000000000001,"['sulphates', 'total_sulfur_dioxide']",0.954639175257732
MAR,range_condition,287,fixed_acidity,0.6000000000000001,sulphates,0.8985347985347986
MAR,nonlinear,287,fixed_acidity,0.6000000000000001,sulphates,0.7243856332703213
MCAR,none,287,fixed_acidity,0.6000000000000001,,0.5052083333333334
MAR,basic,287,fixed_acidity,0.7000000000000001,sulphates,0.878963931251513
MAR,double_threshold,287,fixed_acidity,0.7000000000000001,"['sulphates', 'total_sulfur_dioxide']",0.9566250742721331
MAR,range_condition,287,fixed_acidity,0.7000000000000001,sulphates,0.9215624007621467
MAR,nonlinear,287,fixed_acidity,0.7000000000000001,sulphates,0.7655486812113318
MCAR,none,287,fixed_acidity,0.7000000000000001,,0.49893955461293743
MAR,basic,287,fixed_acidity,0.8,sulphates,0.9137529137529138
MAR,double_threshold,287,fixed_acidity,0.8,"['sulphates', 'total_sulfur_dioxide']",0.9823468328141225
MAR,range_condition,287,fixed_acidity,0.8,sulphates,0.9428969359331476
MAR,nonlinear,287,fixed_acidity,0.8,sulphates,0.8184427700035881
MCAR,none,287,fixed_acidity,0.8,,0.49443118536197295
MAR,basic,287,fixed_acidity,0.9,sulphates,0.9589426321709786
MAR,double_threshold,287,fixed_acidity,0.9,"['sulphates', 'total_sulfur_dioxide']",0.987563334868724
MAR,range_condition,287,fixed_acidity,0.9,sulphates,0.9796018677807815
MAR,nonlinear,287,fixed_acidity,0.9,sulphates,0.8968629136226901
MCAR,none,287,fixed_acidity,0.9,,0.5012285012285013
MAR,basic,55,pH,0.1,chlorides,0.5971143174250833
MAR,double_threshold,55,pH,0.1,"['chlorides', 'total_sulfur_dioxide']",0.763302752293578
MAR,range_condition,55,pH,0.1,chlorides,0.6920943134535368
MAR,nonlinear,55,pH,0.1,chlorides,0.6195876288659794
MCAR,none,55,pH,0.1,,0.4855769230769231
MAR,basic,55,pH,0.2,chlorides,0.6286701208981001
MAR,double_threshold,55,pH,0.2,"['chlorides', 'total_sulfur_dioxide']",0.7940074906367042
MAR,range_condition,55,pH,0.2,chlorides,0.7096085409252669
MAR,nonlinear,55,pH,0.2,chlorides,0.5984168865435356
MCAR,none,55,pH,0.2,,0.5211210398050365
MAR,basic,55,pH,0.30000000000000004,chlorides,0.6559755631920581
MAR,double_threshold,55,pH,0.30000000000000004,"['chlorides', 'total_sulfur_dioxide']",0.8128109452736318
MAR,range_condition,55,pH,0.30000000000000004,chlorides,0.7294617563739377
MAR,nonlinear,55,pH,0.30000000000000004,chlorides,0.6415620641562064
MCAR,none,55,pH,0.30000000000000004,,0.5229946524064171
MAR,basic,55,pH,0.4,chlorides,0.6787947697555429
MAR,double_threshold,55,pH,0.4,"['chlorides', 'total_sulfur_dioxide']",0.8079226163058498
MAR,range_condition,55,pH,0.4,chlorides,0.736140350877193
MAR,nonlinear,55,pH,0.4,chlorides,0.6307612635939928
MCAR,none,55,pH,0.4,,0.4855778794509648
MAR,basic,55,pH,0.5,chlorides,0.691609977324263
MAR,double_threshold,55,pH,0.5,"['chlorides', 'total_sulfur_dioxide']",0.8452816386247257
MAR,range_condition,55,pH,0.5,chlorides,0.7683096630465052
MAR,nonlinear,55,pH,0.5,chlorides,0.6457556935817805
MCAR,none,55,pH,0.5,,0.5040715312150726
MAR,basic,55,pH,0.6000000000000001,chlorides,0.7208907341007738
MAR,double_threshold,55,pH,0.6000000000000001,"['chlorides', 'total_sulfur_dioxide']",0.8588807785888077
MAR,range_condition,55,pH,0.6000000000000001,chlorides,0.7956018518518518
MAR,nonlinear,55,pH,0.6000000000000001,chlorides,0.6690783807062877
MCAR,none,55,pH,0.6000000000000001,,0.5069813176007866
MAR,basic,55,pH,0.7000000000000001,chlorides,0.7608625683939492
MAR,double_threshold,55,pH,0.7000000000000001,"['chlorides', 'total_sulfur_dioxide']",0.8907823392718822
MAR,range_condition,55,pH,0.7000000000000001,chlorides,0.8335628565807593
MAR,nonlinear,55,pH,0.7000000000000001,chlorides,0.7072538860103627
MCAR,none,55,pH,0.7000000000000001,,0.5163000265041081
MAR,basic,55,pH,0.8,chlorides,0.8141609028030579
MAR,double_threshold,55,pH,0.8,"['chlorides', 'total_sulfur_dioxide']",0.9184276300840718
MAR,range_condition,55,pH,0.8,chlorides,0.8719585849870578
